"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"472",16,"Ezekiel Elliott",FA,"RB132","-","-","-62"
"473",16,"Brevin Jordan",HOU,"TE66","6","3 out of 5 stars","+139"
"474",16,"DeeJay Dallas",ARI,"RB133","8","3 out of 5 stars","+208"
"475",16,"Derius Davis",LAC,"WR164","12","3 out of 5 stars","+155"
"476",16,"Carson Steele",KC,"RB134","10","2 out of 5 stars","-106"
"477",16,"John Bates",WAS,"TE67","12","3 out of 5 stars","+63"
"478",16,"Cedrick Wilson Jr.",NO,"WR165","11","4 out of 5 stars","+187"
"479",16,"Dylan Laube",LV,"RB135","8","2 out of 5 stars","+270"
"480",16,"Cooper Rush",BAL,"QB56","7","3 out of 5 stars","-79"
"481",16,"Tyler Badie",DEN,"RB136","12","2 out of 5 stars","+69"
"482",16,"Taylor Heinicke",LAC,"QB57","12","3 out of 5 stars","+168"
"483",16,"Scotty Miller",PIT,"WR166","5","4 out of 5 stars","+105"
"484",16,"Johnny Mundt",JAC,"TE68","8","3 out of 5 stars","+173"
